,March_1,March_2,April,May,Week46,Week47 ,Week48,Week49,Week50,Week51,Week52,Week53
511,0.690724203,0.8350095,0.8350095,0.8350095,0.415202306,0.415202306,0.415202306,0.415202306,0.415202306,0.415202306,0.415202306,0.415202306
512,0.644522049,0.807964479,0.678534632,0.644522049,0,0,0,0,0,0,0,0.644522049
513,0,0,0,0,0,0,0,0,0,0,0,0
514,0,0.149829992,0.149829992,0,0,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0,0,0,0,0
516,0,0.428205897,0.428205897,0,0,0,0,0,0,0,0,0
517,0,0.70179657,0,0,0,0,0,0,0,0,0,0
518,0,0.020868457,0.020868457,0,0,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0,0,0,0,0,0
520,0,0.029747479,0.029747479,0,0,0,0,0,0,0,0,0
521,0,0.320621939,0.320621939,0,0,0,0,0,0,0,0,0
522,0,0.7649921,0.7649921,0,0,0,0,0,0,0,0,0
523,0,0.764758864,0.758076662,0,0,0,0,0,0,0,0,0
524,0,0.545638577,0.222819093,0,0,0,0,0,0,0,0,0
525,0,0.437197208,0.437197208,0,0,0,0,0,0,0,0,0
526,0,0.615603692,0.615603692,0,0,0,0,0,0,0,0,0
527,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
528,0,0.390611717,0.390611717,0,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,0,0,0,0,0
530,0,0.56215866,0.551455044,0,0,0,0,0,0,0,0,0
531,0.190046283,0.328360981,0.31794983,0.164284734,0,0,0,0,0,0,0,0.128578634
532,0,0,0,0,0,0,0,0,0,0,0,0
533,0.612141848,0.70265254,0.651829849,0.662178128,0.592402947,0.592402947,0.592402947,0.592402947,0.592402947,0,0,0.592402947
534,0,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0,0,0
538,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
539,0,0.118632639,0.027696796,0.015178353,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0,0,0
543,0.713762904,0.8350095,0.8350095,0.8350095,0.469342711,0.469342711,0.469342711,0.469342711,0.469342711,0.469342711,0.469342711,0.469342711
544,0.597201204,0.805434654,0.641204518,0.597201204,0,0,0,0,0,0,0,0.597201204
545,0,0,0,0,0,0,0,0,0,0,0,0
546,0,0.500168169,0.500168169,0,0,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0,0,0,0,0,0
548,0,0.721589529,0.721589529,0,0,0,0,0,0,0,0,0
549,0,0.727684362,0,0,0,0,0,0,0,0,0,0
550,0,0.033380727,0.033380727,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0,0,0,0
552,0,0.013431771,0.013431771,0,0,0,0,0,0,0,0,0
553,0,0.548948666,0.548948666,0,0,0,0,0,0,0,0,0
554,0,0.7649921,0.7649921,0,0,0,0,0,0,0,0,0
555,0,0.762316392,0.7606348,0,0,0,0,0,0,0,0,0
556,0,0.5735704,0.301066101,0,0,0,0,0,0,0,0,0
557,0,0.513510654,0.513510654,0,0,0,0,0,0,0,0,0
558,0,0.625816193,0.625816193,0,0,0,0,0,0,0,0,0
559,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
560,0,0.273509986,0.246109349,0,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0,0,0,0,0
562,0,0.604045359,0.600250993,0,0,0,0,0,0,0,0,0
563,0.217533683,0.34826435,0.341696272,0.187935829,0.148046571,0.148046571,0.148046571,0,0,0,0,0.148046571
564,0,0,0,0,0,0,0,0,0,0,0,0
565,0.624621123,0.71846072,0.678685739,0.674542711,0.609867581,0.609867581,0.609867581,0.609867581,0.609867581,0,0,0.609867581
566,0,0,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0,0,0,0,0
570,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
571,0,0.102626126,0.036996183,0.019063849,0,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,0,0,0,0,0,0,0
